symbol,previousClose,open,dividendYield,dividendPerShare,exDividendDate,change,changeInPercent,lastTradeDate,daysLow,daysHigh,lastTradePriceOnly,52WeekHigh,52WeekLow,marketCapitalization,sharesOwned,stockExchange,volume,earningsPerShare,epsEstimateCurrentYear,bookValue,ebitda,pricePerSales,pricePerBook,peRatio,pegRatio,pricePerEpsEstimateCurrentYear,pricePerEpsEstimateNextYear,shortRatio
1AD,0.205,0.205,,,,0,0,30/1/17,0.205,0.205,0.205,0.31,0.165,20500000,,ASX,48730,-0.325,,-0.148,-1170000,27.776,,,0,,,0
1AG,0.032,0.034,,,,0.002,0.0625,30/1/17,0.033,0.034,0.034,0.15,0.029,4680000,,ASX,647408,0.002,,0.091,451112,1.518,0.352,17,0,,,0
1PG,0.185,0.185,,,,0,0,30/1/17,0.18,0.187,0.185,3.48,0.145,28520000,,ASX,368483,-0.127,0.03,0.343,-15200000,36.738,0.539,,0,,,0
3DP,0.027,0.025,,,,-0.002,-0.07407,30/1/17,0.025,0.025,0.025,0.053,0.021,8150000,,ASX,500000,-0.032,,0.013,-865347,,2.077,,0,,,0
3PL,0.97,0.96,,,10/6/15,-0.08,-0.0825,30/1/17,0.86,0.99,0.89,1.93,0.62,123740000,,ASX,723499,0.03,0.04,0.31,7740000,2.74,3.1,32.96,2.41,22.25,17.8,0
4CE,0.024,0.024,,,,0,0,30/1/17,0.023,0.025,0.024,0.064,0.015,5160000000,,ASX,2033149,-0.053,,0.025,-1050000,19776.895,0.96,,0,,,0
4DS,0.028,0.028,,,,-0.001,-0.03571,30/1/17,0.027,0.028,0.027,0.044,0.018,17800000,,ASX,1024445,-0.028,,0.002,-2710000,134.71,14,,0,,,0
4WD,0.9,0.9,,,,0,0,30/1/17,0.9,0.9,0.9,1,0.85,,,ASX,75000,,,0,0,,,,0,,,0
88E,0.043,0.041,,,,-0.002,-0.04651,30/1/17,0.04,0.042,0.041,0.082,0.006,159620000,,ASX,7607727,-0.003,,0.01,-9300000,4641.42,4.3,,0,,,0
8EC,1,1,,,,0,0,30/1/17,1,1,1,1.05,0.85,,,ASX,101021,,,0,0,,,,0,,,0
9SP,0.15,0.16,,,,0.015,0.1,30/1/17,0.155,0.165,0.165,0.2,0.125,66490000,,ASX,703796,-0.017,,0.033,0,457.871,4.545,,0,,,0
A2M,2.11,2.11,,,,0,0,30/1/17,2.1,2.15,2.11,2.48,1.28,1530000000,,ASX,1336559,0.03,0.08,0.13,39240000,5.98,15.86,68.06,0.57,26.38,21.1,0
A3D,3.32,3.41,,,,0.08,0.0241,30/1/17,3.4,3.6,3.4,5.39,0.44,187000000,,ASX,168951,-0.01,,0,-1200000,,3320,,0,,,0
AAC,1.6,1.59,,,9/11/08,-0.07,-0.0408,30/1/17,1.52,1.59,1.53,2.13,1.12,815740000,,ASX,1493655,0.11,0.12,1.75,-144540000,1.92,0.91,13.91,3.42,12.75,13.91,0
AAD,2.1,2.11,,,6/29/2016,0,0,30/1/17,2.09,2.13,2.1,2.97,1.71,972380000,,ASX,1790017,0.09,0.08,1.34,125980000,1.46,1.57,22.34,4.54,26.25,19.09,0
AAJ,0.01,0.009,,,,-0.001,-0.1,30/1/17,0.009,0.009,0.009,0.016,0.005,2080000,,ASX,6150255,-0.002,,0.005,-320488,,2,,0,,,0
AB1,0.058,0.058,,,,0,0,30/1/17,0.058,0.059,0.058,0.27,0.058,11890000,,ASX,78929,-0.037,-0.02,0.027,-5180000,1.41,2.148,,0,,5.8,0
ABA,5.22,5.22,,,3/3/16,0.03,0.0057,30/1/17,5.22,5.28,5.25,5.46,4.8,211320000,,ASX,14140,0.31,0.4,5.38,0,3.31,0.97,16.83,4.42,13.12,11.93,0
ABC,5.2,5.16,0,0,9/14/2016,-0.04,-0.0077,30/1/17,5.11,5.22,5.16,5.99,4.49,3340000000,,ASX,922486,0.31,0.3,1.83,308900000,2.37,2.84,16.65,8.08,17.2,16.65,0
ABL,0.008,0.008,,,,0,0,30/1/17,0.008,0.008,0.008,0.016,0.007,3180000,,ASX,65306,-0.003,,0.011,-385641,10.852,0.727,,0,,,0
ABP,2.86,2.83,,,1/17/2017,-0.06,-0.021,30/1/17,2.8,2.87,2.8,3.38,2.67,1570000000,,ASX,463647,0.34,0.24,2.72,185790000,5.21,1.05,8.36,5.88,11.67,9.66,0
ABT,0.6,0.55,,,,-0.05,-0.0833,30/1/17,0.55,0.55,0.55,1.01,0.45,25580000,,ASX,20822,-0.09,,0.09,-783913,49.4,7.06,,0,,,0
ABU,0.12,0.125,,,,0.005,0.04167,30/1/17,0.125,0.125,0.125,0.175,0.034,46890000,,ASX,65546,-0.062,0.11,0.058,1670000,1.245,2.069,,0,,,0
ABX,0.15,0.15,,,,-0.015,-0.1,30/1/17,0.135,0.15,0.135,0.25,0.097,19190000,,ASX,390686,0.003,,0.125,612333,4.522,1.2,45,0,,,0
