symbol,previousClose,open,dividendYield,dividendPerShare,exDividendDate,change,changeInPercent,lastTradeDate,daysLow,daysHigh,lastTradePriceOnly,52WeekHigh,52WeekLow,marketCapitalization,sharesOwned,stockExchange,volume,earningsPerShare,epsEstimateCurrentYear,bookValue,ebitda,pricePerSales,pricePerBook,peRatio,pegRatio,pricePerEpsEstimateCurrentYear,pricePerEpsEstimateNextYear,shortRatio,tickerTrend
1AG,0.034,0.035,,,,0.001,0.02941,1/2/17,0.035,0.035,0.035,0.15,0.029,4820000,,ASX,264430,0.002,,0.091,451112,1.613,0.374,17.5,0,,,0,
1PG,0.19,0.19,,,,0,-0.027,1/2/17,0.18,0.19,0.18,3.48,0.14,27750000,,ASX,343447,-0.13,0.03,0.34,-15200000,36.74,0.54,,0,,,0,
3PL,0.95,0.95,,,10/6/15,-0.015,-0.01579,1/2/17,0.915,0.95,0.935,1.93,0.625,130000000,,ASX,77186,0.027,0.04,0.313,7740000,2.681,3.035,34.63,2.41,23.375,18.7,0,
4CE,0.024,0.024,,,,0,0,1/2/17,0.024,0.024,0.024,0.064,0.015,5160000000,,ASX,150001,-0.053,,0.025,-1050000,19776.895,0.96,,0,,,0,
4DS,0.028,0.029,,,,0,0,1/2/17,0.028,0.029,0.028,0.044,0.018,18460000,,ASX,723767,-0.028,,0.002,-2710000,134.71,14,,0,,,0,
4WD,0.9,0.9,,,,0,0,1/2/17,0.9,0.9,0.9,1,0.85,,,ASX,28145,,,0,0,,,,0,,,0,
88E,0.04,0.04,,,,0,0,1/2/17,0.04,0.04,0.04,0.08,0.01,155730000,,ASX,1372002,0,,0.01,-9300000,4317.6,4,,0,,,0,
8EC,1,0.99,,,,-0.01,-0.01,1/2/17,0.98,0.99,0.99,1.05,0.85,40610000000,,ASX,44909,,,0,0,,,,0,,,0,
8IH,0.7,0.7,,,8/15/2016,0,0,1/2/17,0.7,0.7,0.7,1.2,0.68,250690000,,ASX,15000,0.04,,0.13,13640000,10.66,5.51,18.92,0,,,0,
9SP,0.17,0.17,,,,0.005,0.02941,1/2/17,0.165,0.175,0.175,0.2,0.125,70520000,,ASX,475553,-0.017,,0.033,0,518.92,5.152,,0,,,0,
A2M,2.12,2.12,,,,0.01,0.0047,1/2/17,2.11,2.14,2.13,2.48,1.28,1540000000,,ASX,2270058,0.03,0.08,0.13,39240000,6.01,15.94,68.71,0.57,26.63,21.3,0,
A3D,3.21,3.2,,,,0.09,0.028,1/2/17,3.2,3.3,3.3,5.39,0.44,181500000,,ASX,47082,-0.01,,0,-1200000,,3210,,0,,,0,
AAC,1.47,1.49,,,9/11/08,0,0.0034,1/2/17,1.46,1.5,1.47,2.13,1.12,783750000,,ASX,1283358,0.11,0.12,1.75,-144540000,1.76,0.84,13.36,3.42,12.25,13.36,0,
AAD,2.1,2.1,,,6/29/2016,-0.02,-0.0095,1/2/17,2.06,2.1,2.08,2.97,1.71,963120000,,ASX,2223053,0.09,0.08,1.34,125980000,1.46,1.57,22.13,4.54,26,18.91,0,
