"symbol","previousClose","open","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio"
"1AG",0.035,0.035,,,,0,0,"2017-02-02",0.035,0.035,0.035,0.15,0.029,4820000,,"ASX",43370,0.002,,0.091,"451112.00",1.661,0.385,17.5,0,,,"0.000"
"1AL",0.99,0.98,,,"5/23/2016",0,-0.0051,"2017-02-02",0.98,0.98,0.98,1,0.8,126420000,,"ASX",5000,0.09,,0.17,11160000,3.15,5.66,11.26,0,,,"0.00"
"1PG",0.18,0.18,,,,0,0,"2017-02-02",0.17,0.18,0.18,3.48,0.14,27750000,,"ASX",393876,-0.13,0.03,0.34,-15200000,35.75,0.52,,0,,,"0.00"
"3DP",0.023,0.023,,,,0,0,"2017-02-02",0.023,0.023,0.023,0.053,0.021,7500000,,"ASX",521958,-0.032,,0.013,"-865347.00",,1.769,,0,,,"0.000"
"3PL",0.935,0.92,,,"10/6/2015",0,0,"2017-02-02",0.92,0.95,0.935,1.93,0.625,130000000,,"ASX",108586,0.027,0.04,0.313,7740000,2.639,2.987,34.63,2.41,23.375,18.7,"0.000"
"4CE",0.024,0.024,,,,0,0,"2017-02-02",0.024,0.024,0.024,0.064,0.015,5160000000,,"ASX",1207676,-0.053,,0.025,-1050000,19776.895,0.96,,0,,,"0.000"
"4DS",0.028,0.028,,,,0,0,"2017-02-02",0.028,0.028,0.028,0.044,0.018,18460000,,"ASX",480281,-0.028,,0.002,-2710000,134.71,14,,0,,,"0.000"
"4WD",0.9,0.9,,,,-0.01,-0.0111,"2017-02-02",0.88,0.9,0.89,1,0.85,,,"ASX",117495,,,0,"0.00",,,,0,,,"0.00"
"88E",0.04,0.041,,,,0.001,0.025,"2017-02-02",0.041,0.042,0.041,0.082,0.006,159620000,,"ASX",3242801,-0.003,,0.01,-9300000,4317.6,4,,0,,,"0.000"
"8EC",0.99,0.99,,,,0.01,0.0101,"2017-02-02",0.99,1,1,1.05,0.85,41020000000,,"ASX",199981,,,0,"0.00",,,,0,,,"0.00"
"8IH",0.7,0.7,,,"8/15/2016",0,0,"2017-02-02",0.7,0.7,0.7,1.2,0.68,250690000,,"ASX",91000,0.04,,0.13,13600000,10.69,5.56,18.92,0,,,"0.00"
"9SP",0.17,0.18,,,,0,-0.0286,"2017-02-02",0.17,0.18,0.17,0.2,0.12,68500000,,"ASX",330819,-0.02,,0.03,"0.00",534.92,5.3,,0,,,"0.00"
