"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio"
"1PG",0.18,,,,0,0,"2017-02-03",0.18,0.19,0.18,3.48,0.14,27750000,,"ASX",63329,-0.13,0.03,0.34,-15200000,35.75,0.52,,0,,,"0.00"
"1ST",0.06,,,,-0.01,-0.16670000000000001,"2017-02-03",0.05,0.06,0.05,0.08,0.04,10340000,,"ASX",31535,-0.06,,0.06,-4350000,6.24,1.02,,0,,,"0.00"
"3DP",0.023,,,,0,0,"2017-02-03",0.023,0.023,0.023,0.053,0.021,7500000,,"ASX",1146987,-0.032,,0.013,"-865347.00",,1.769,,0,,,"0.000"
"3PL",0.94,,,"10/6/2015",0,-0.0053,"2017-02-03",0.92,0.94,0.93,1.93,0.62,129300000.00000001,,"ASX",116377,0.03,0.04,0.31,7740000,2.64,2.99,34.44,2.41,23.25,18.6,"0.00"
"4WD",0.89,,,,-0.02,-0.0225,"2017-02-03",0.87,0.89,0.87,1,0.85,,,"ASX",28386,,,0,"0.00",,,,0,,,"0.00"
"88E",0.04,,,,0,-0.024399999999999998,"2017-02-03",0.04,0.04,0.04,0.08,0.01,155730000,,"ASX",927971,0,,0.01,-9300000,4425.54,4.1,,0,,,"0.00"
"8EC",1,,,,0,0,"2017-02-03",1,1,1,1.05,0.85,41020000000,,"ASX",95495,,,0,"0.00",,,,0,,,"0.00"
"8IH",0.7,,,"8/15/2016",0,0,"2017-02-03",0.7,0.71,0.7,1.2,0.68,250690000,,"ASX",51700,0.04,,0.13,13580000,10.71,5.56,18.92,0,,,"0.00"
"9SP",0.17,,,,0.005,0.02941,"2017-02-03",0.17,0.18,0.175,0.2,0.125,70520000,,"ASX",963817,-0.017,,0.033,"0.00",517.74,5.152,,0,,,"0.000"
"A2M",2.2,,,,0.05,0.0227,"2017-02-03",2.21,2.27,2.25,2.48,1.28,1630000000,,"ASX",4007923,0.03,0.08,0.13,39330000,6.22,16.42,72.58,0.57,28.12,22.5,"0.00"
