"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","FIRMMCRT","FXRUSD","GRCPAIAD","GRCPRCAD","GRCPNRAD","GRCPBMAD","GRCPBCAD","GRCPAISAD","GRCPBCSAD","H01_GGDPCVGDP","H01_GGDPCVGDPFY","640106_A3597525W","H05_GLFSEPTPOP","allordpreviousclose","allordchange","allorddayslow","allorddayshigh","asxpreviousclose","asxchange","asxdayslow","asxdayshigh"
"1AG",0.035,,,,-0.001,-0.02857,"2017-02-06",0.034,0.036,0.034,0.15,0.029,4680000,,"ASX",120000,0.002,,0.091,"451112.00",1.661,0.385,17,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"1PG",0.18,,,,0.01,0.0556,"2017-02-06",0.19,0.19,0.19,3.24,0.14,29290000,,"ASX",137889,-0.13,0.03,0.34,-15200000,35.75,0.52,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"1ST",0.05,,,,0.005,0.1,"2017-02-06",0.05,0.055,0.055,0.081,0.044,11370000,,"ASX",200785,-0.056,,0.059,-4350000,5.196,0.847,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"3DP",0.023,,,,0,0,"2017-02-06",0.023,0.023,0.023,0.053,0.021,7500000,,"ASX",60216,-0.032,,0.013,"-865347.00",,1.769,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"3PL",0.93,,,"10/6/2015",0,0,"2017-02-06",0.91,0.94,0.93,1.93,0.62,129300000.00000001,,"ASX",86688,0.03,0.04,0.31,7740000,2.62,2.97,34.44,2.32,23.25,18.6,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"4CE",0.024,,,,-0.002,-0.08333,"2017-02-06",0.022,0.023,0.022,0.064,0.015,4730000000,,"ASX",2256191,-0.053,,0.025,-1050000,19776.895,0.96,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"4DS",0.028,,,,0,0,"2017-02-06",0.026,0.028,0.028,0.044,0.018,18460000,,"ASX",1330416,-0.028,,0.002,-2710000,134.71,14,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"4WD",0.87,,,,0,0,"2017-02-06",0.87,0.87,0.87,1,0.85,,,"ASX",16768,,,0,"0.00",,,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"88E",0.04,,,,0,0,"2017-02-06",0.04,0.04,0.04,0.08,0.01,155730000,,"ASX",6073694,0,,0.01,-9300000,4317.6,4,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"8EC",1,,,,0.005,0.005,"2017-02-06",1,1.005,1.005,1.05,0.85,41220000000,,"ASX",14327,,,0,"0.00",,,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"8IH",0.7,,,"8/15/2016",0.01,0.0143,"2017-02-06",0.7,0.71,0.71,1.14,0.68,254270000,,"ASX",74400,0.04,,0.13,13580000,10.71,5.56,19.19,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
"9SP",0.175,,,,0,0,"2017-02-06",0.17,0.175,0.175,0.2,0.125,70520000,,"ASX",133975,-0.017,,0.033,"0.00",532.967,5.303,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5672.5,-7.1,5659.2,5708.6,5621.6,-6,5609.4,5659.1
