"symbol","previousClose","dividendYield","dividendPerShare","exDividendDate","change","changeInPercent","lastTradeDate","daysLow","daysHigh","lastTradePriceOnly","52WeekHigh","52WeekLow","marketCapitalization","sharesOwned","stockExchange","volume","earningsPerShare","epsEstimateCurrentYear","bookValue","ebitda","pricePerSales","pricePerBook","peRatio","pegRatio","pricePerEpsEstimateCurrentYear","pricePerEpsEstimateNextYear","shortRatio","FIRMMCRT","FXRUSD","GRCPAIAD","GRCPRCAD","GRCPNRAD","GRCPBMAD","GRCPBCAD","GRCPAISAD","GRCPBCSAD","H01_GGDPCVGDP","H01_GGDPCVGDPFY","640106_A3597525W","H05_GLFSEPTPOP","allordpreviousclose","allordchange","allorddayslow","allorddayshigh","asxpreviousclose","asxchange","asxdayslow","asxdayshigh","EPS","PriceToBook","MarketCap","PE","DividendRecentQuarter","DividendNextQuarter","DPSRecentYear","IAD","DividendPerShare","DividendYield","Dividend","BookValuePerShareYear","CashPerShareYear","CurrentRatioYear","LTDebtToAssetsYear","LTDebtToAssetsQuarter","TotalDebtToAssetsYear","TotalDebtToAssetsQuarter","LTDebtToEquityYear","LTDebtToEquityQuarter","TotalDebtToEquityYear","TotalDebtToEquityQuarter","AINTCOV","ReturnOnInvestmentTTM","ReturnOnInvestment5Years","ReturnOnInvestmentYear","ReturnOnAssetsTTM","ReturnOnAssets5Years","ReturnOnAssetsYear","ReturnOnEquityTTM","ReturnOnEquity5Years","ReturnOnEquityYear","Beta","Float","GrossMargin","EBITDMargin","OperatingMargin","NetProfitMarginPercent","NetIncomeGrowthRate5Years","RevenueGrowthRate5Years","RevenueGrowthRate10Years","EPSGrowthRate5Years","EPSGrowthRate10Years"
"1AD",0.21,,,,0.02,0.09519999999999999,"2017-02-07",0.23,0.23,0.23,0.31,0.17,23000000,,"ASX",2300,-0.32,,-0.15,-1170000,28.45,,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1AL",0.98,,,"5/23/2016",0.005,0.0051,"2017-02-07",0.985,0.985,0.985,1,0.8,127070000,,"ASX",3500,0.087,,0.174,11160000,3.138,5.632,11.322,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1PG",0.19,,,,-0.005,-0.02632,"2017-02-07",0.18,0.187,0.185,3.24,0.145,28520000,,"ASX",447537,-0.127,0.03,0.343,-15200000,37.731,0.554,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1ST",0.055,,,,0,0,"2017-02-07",0.055,0.055,0.055,0.081,0.044,11370000,,"ASX",39608,-0.056,,0.059,-4350000,5.716,0.932,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3DP",0.023,,,,0,0,"2017-02-07",0.023,0.023,0.023,0.053,0.021,7500000,,"ASX",63509,-0.032,,0.013,"-865347.00",,1.769,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3PL",0.93,,,"10/6/2015",0.015,0.01613,"2017-02-07",0.93,0.945,0.945,1.93,0.625,131389999.99999999,,"ASX",58044,0.027,0.04,0.313,7740000,2.625,2.971,35,2.32,23.625,18.9,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4CE",0.022,,,,0,0,"2017-02-07",0.022,0.022,0.022,0.064,0.015,4730000000,,"ASX",554438,-0.053,,0.025,-1050000,18128.82,0.88,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4DS",0.028,,,,0.001,0.03571,"2017-02-07",0.029,0.029,0.029,0.044,0.018,19120000,,"ASX",344139,-0.028,,0.002,-2710000,134.71,14,,0,,,"0.000",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4WD",0.87,,,,-0.01,-0.0115,"2017-02-07",0.86,0.87,0.86,1,0.85,,,"ASX",16070,,,0,"0.00",,,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"88E",0.04,,,,0,0,"2017-02-07",0.04,0.04,0.04,0.08,0.01,155730000,,"ASX",1839405,0,,0.01,-9300000,4317.6,4,,0,,,"0.00",1.5,0.7653,120.91477674298,99.995857921983,124.61739053867,107.21766156621,146.7719722171,123.03288567613,151.16425984432,417688,0.325657129565,110,60.946153856675,5665.4,7.2,5635.1,5672.6,5615.6,6.3,5582.7,5621.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
