symbol,name,EPS,QuoteLast,Price200DayAverage,Price52WeekPercChange,PriceToBook,MarketCap,PE,DividendRecentQuarter,DividendNextQuarter,DPSRecentYear,IAD,DividendPerShare,DividendYield,Dividend,BookValuePerShareYear,CashPerShareYear,CurrentRatioYear,LTDebtToAssetsYear,LTDebtToAssetsQuarter,TotalDebtToAssetsYear,TotalDebtToAssetsQuarter,LTDebtToEquityYear,LTDebtToEquityQuarter,TotalDebtToEquityYear,TotalDebtToEquityQuarter,AINTCOV,ReturnOnInvestmentTTM,ReturnOnInvestment5Years,ReturnOnInvestmentYear,ReturnOnAssetsTTM,ReturnOnAssets5Years,ReturnOnAssetsYear,ReturnOnEquityTTM,ReturnOnEquity5Years,ReturnOnEquityYear,Beta,Float,InstitutionalPercentHeld,GrossMargin,EBITDMargin,OperatingMargin,NetProfitMarginPercent,NetIncomeGrowthRate5Years,RevenueGrowthRate5Years,RevenueGrowthRate10Years,EPSGrowthRate5Years,EPSGrowthRate10Years,Volume,AverageVolume
1AD,Adalta Ltd,-,0.25,-,-,-,18720000,-,-,-,0,-,-,-,-,0.01,0,6.43,0,-,0,-,0,-,0,-,-,-,-,-118.51,-,-,-101.48,-,-,-,-,59.32,-,-,-,-,-,-,-,-,-,-,0,"50,513.00"
1AG,Alterra Ltd,0,0.03,0.05,-78.62,0.34,4270000,-,0,-,0,-,0,-,-,0.09,0.01,14.65,0.62,0.62,0.95,0.95,0.65,0.65,0.99,0.99,-4.94,-1.39,-,-1.39,-1.32,-,-1.32,-1.48,-,-1.48,0.74,80.42,-,-,23.36,-9.77,-6.3,-,-,-,-,-,"229,789.00","106,383.00"
1AL,Oneall International Ltd,0.09,0.99,0.97,-1.5,5.66,127070000,10.81,0.04,0.04,0.06,0.06,0.06,6.09,23.06,0.17,0.08,2.96,0,0,0,0,0,0,0,0,-,55.23,-,-,27.95,-,-,55.23,-,-,-,5.46,-,42.65,27.49,27.36,22.56,-,-,-,-,-,"14,300.00","9,904.00"
1PG,1-Page Ltd,-0.13,0.19,0.38,-94.31,0.45,29300000,-,0,-,0,-,0,-,-,0.43,0.32,47.22,0,0,0,0,0,0,0,0,-,-51.28,-65.51,-48.41,-50.41,-60.34,-47.6,-51.28,-65.66,-48.41,-2.51,114.41,-,-,"-1,174.84","-1,486.59","-1,519.24",-,-,-,-,-,"415,620.00",1450000
1ST,1st Group Ltd,-0.06,0.05,0.06,-14.15,0.92,10530000,-,0,-,0,-,0,-,-,0.06,0.03,9.86,0,0,0,0,0,0,0,0,-164.2,-,-65.94,-42.7,-,-56.02,-39.63,-,-70.92,-46.29,-,80.14,-,-,-153.28,-281.56,-252.4,-,-,-,-,-,"100,000.00","36,233.00"
3DP,Pointerra Ltd,-0.01,0.02,0.03,-34.38,1.6,5010000,-,0,-,0,-,0,-,-,0.01,0.02,6.26,0,0,0.91,0.91,0,0,1.08,1.08,-,-142.47,-137.62,-142.47,-99.18,-99.98,-99.18,-142.47,-137.62,-142.47,3.23,46.55,-,-,-,-,-,-,-,-,-,-,1270000,"465,909.00"
3PL,3P Learning Ltd,0.03,0.97,1,-39.7,3.18,134960000,36.22,0,-,0,-,0,-,2.4,0.31,0.03,0.3,11.67,11.67,11.68,11.68,26.53,26.53,26.55,26.55,-,7.74,17.11,7.74,4.25,8.05,4.25,9.48,20.68,9.48,-,124.61,-,-,24.83,10.02,7.41,5.2,11.2,-,4.89,-,"132,054.00","187,276.00"
4CE,Force Commodities Ltd,-0.01,0.03,0.04,16.66,1.09,5370000,-,0,-,0,-,0,-,-,0.02,0,1.55,0,0,0,0,0,0,0,0,-3.66,-18.63,-40.06,-24.44,-15.77,-36.43,-20.09,-18.69,-41.4,-24.52,0.86,87.74,-,-,-164.37,-185.37,-232.56,-,-,-,-,-,1750000,1580000
4DS,4DS Memory Ltd,-0.06,0.03,0.03,-15.15,14.26,20000000,-,0,-,0,-,0,-,-,0,0,14.85,0,0,0,0,0,0,0,0,-63.16,"-5,036.43",-126,"-5,036.43","-1,613.45",-115.11,"-1,613.45","-10,176.10",-128.2,"-10,176.10",-1.89,468.79,-,-,"-2,026.09","-8,537.78","-8,569.95",-,0.39,-,-,-,1870000,"924,826.00"
4WD,Automotive Solutions Group Ltd,-,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"31,356.00","110,958.00"
88E,88 Energy Ltd,-0.01,0.04,0.04,616.67,6.17,179270000,-,0,-,0,-,0,-,-,0.01,0,2.48,29.96,32.48,29.96,32.48,50.87,54.76,50.87,54.76,-8.29,-33.96,-89.21,-37.34,-31.29,-82.02,-32.99,-50.17,-98.65,-55.22,-1.07,"3,900.79",-,-,"-16,774.89","-16,839.88","-20,174.91",-,-30.87,-9.18,-,-,3030000,9570000
8CO,8Common Ltd,-0.02,0.1,0.15,-44.74,1.03,6090000,-,0,-,0,-,0,-,-,0.1,0.01,1.98,0,0,15.55,15.55,0,0,20.99,20.99,-13.86,-19.65,-,-19.65,-15.27,-,-15.27,-21.67,-,-21.67,-,15.16,-,78.5,-19.15,-35.08,-36.75,-,-,-,-,-,0,621
8EC,8IP Emerging Companies Ltd,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"29,004.00","21,915.00"
8IH,8I Holdings Ltd,0.05,0.71,0.78,-41.32,5.31,255380000,14.41,0,0,0.01,0.01,0,1.38,4.99,0.13,0.1,6.41,0.12,0.1,0.22,0.23,0.14,0.11,0.26,0.26,-,34.47,-,42.65,29.47,-,37.55,34.03,-,42.65,-,185.61,-,99.21,20.17,103.53,109.08,-,-,-,-,-,0,"41,766.00"
9SP,9 Spokes International Ltd,-0.03,0.14,-,-,67.89,31910000,-,0,-,0,-,0,-,-,0,0.01,1.24,0,0,0,0,0,0,0,0,-,-110.62,-,"-2,034.59",-86.07,-,-208.51,-110.62,-,"-2,034.59",-,18.52,-,-,"-5,100.00","-5,468.68","-5,331.32",-,-,-,-,-,0,"179,988.00"
A2M,a2 Milk Company Ltd (Australia),-,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1970000,4840000
A3D,Aurora Labs Ltd,-0.01,3.12,-,-,"2,255.89",43680000,-,0,-,0,-,0,-,-,0,0.06,0.99,0,0,0,0,0,0,0,0,-223.32,-,-,-,-,-,-78.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"55,668.00","56,515.00"
AAC,Australian Agricultural Company Ltd,0.11,1.6,1.73,21.84,0.96,893940000,14.12,0,-,0,-,0,-,-,1.66,0.03,6.25,26.4,27.18,26.71,27.43,41.21,43.43,41.68,43.82,-8.86,4.91,-,5.45,4.71,-,5.22,7.54,-,8.23,0.91,362.48,-,-6.44,-31.29,25.71,14.79,-,-,-,-,-,"796,396.00","831,957.00"
AAD,Ardent Leisure Group,0.08,2.07,2.27,-3.26,1.55,971030000,27.2,0.06,0.02,0.12,0.08,0.12,3.61,14.46,1.34,0.02,1.28,27.03,27.03,27.03,27.03,50.47,50.47,50.47,50.47,5,3.65,4.06,3.65,3.19,3.64,3.19,5.73,6.19,5.73,0.61,441.83,-,74.43,19.01,8.47,5.17,-1.01,11.6,13.08,-7.99,30.08,2190000,1530000
AAEDC,AGRI NRG DEF SET,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
AAI,Arconic Inc GDR,-,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,185
AAJ,Aruma Resources Ltd,0,0.01,0.01,33.93,1.99,3170000,-,0,-,0,-,0,-,-,0,0,10.9,0,0,0,0,0,0,0,0,-,-36.94,-56.54,-36.94,-32.65,-51.97,-32.65,-36.94,-56.54,-36.94,1,230.77,-,-,-37.06,-46.64,-44.8,-,91.01,-,-,-,"690,000.00",1820000
