symbol,GICSSector,GICSIndustryGroup,GICSIndustry
ABV,Consumer Discretionary,Automobiles & Components,Auto Components
ARB,Consumer Discretionary,Automobiles & Components,Auto Components
DDT,Consumer Discretionary,Automobiles & Components,Auto Components
GUD,Consumer Discretionary,Automobiles & Components,Auto Components
PWH,Consumer Discretionary,Automobiles & Components,Auto Components
SFC,Consumer Discretionary,Automobiles & Components,Auto Components
SIX,Consumer Discretionary,Automobiles & Components,Auto Components
4WD,Consumer Discretionary,Automobiles & Components,Auto Components
ATL,Consumer Discretionary,Automobiles & Components,Automobiles
VMT,Consumer Discretionary,Automobiles & Components,Automobiles
AKP,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
BRG,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
FWD,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
GAP,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
IOT,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
KRS,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
MCP,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
1AL,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
QTM,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
SHU,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
SHM,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
SIO,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
TWD,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
FAN,Consumer Discretionary,Consumer Durables & Apparel,Household Durables
CYQ,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products
WAT,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products
ATP,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
GZL,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
GLE,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
GLB,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
MHI,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
MHD,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
XPD,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
BBG,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
KFG,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods"
3PL,Consumer Discretionary,Consumer Services,Diversified Consumer Services
AKG,Consumer Discretionary,Consumer Services,Diversified Consumer Services
ACO,Consumer Discretionary,Consumer Services,Diversified Consumer Services
EVO,Consumer Discretionary,Consumer Services,Diversified Consumer Services
GEM,Consumer Discretionary,Consumer Services,Diversified Consumer Services
IB8,Consumer Discretionary,Consumer Services,Diversified Consumer Services
ICT,Consumer Discretionary,Consumer Services,Diversified Consumer Services
IEL,Consumer Discretionary,Consumer Services,Diversified Consumer Services
IVC,Consumer Discretionary,Consumer Services,Diversified Consumer Services
ISU,Consumer Discretionary,Consumer Services,Diversified Consumer Services
KME,Consumer Discretionary,Consumer Services,Diversified Consumer Services
MFD,Consumer Discretionary,Consumer Services,Diversified Consumer Services
NVT,Consumer Discretionary,Consumer Services,Diversified Consumer Services
PFP,Consumer Discretionary,Consumer Services,Diversified Consumer Services
RDH,Consumer Discretionary,Consumer Services,Diversified Consumer Services
RTE,Consumer Discretionary,Consumer Services,Diversified Consumer Services
SCT,Consumer Discretionary,Consumer Services,Diversified Consumer Services
SHJ,Consumer Discretionary,Consumer Services,Diversified Consumer Services
SIT,Consumer Discretionary,Consumer Services,Diversified Consumer Services
SGH,Consumer Discretionary,Consumer Services,Diversified Consumer Services
SGU,Consumer Discretionary,Consumer Services,Diversified Consumer Services
TNK,Consumer Discretionary,Consumer Services,Diversified Consumer Services
TFG,Consumer Discretionary,Consumer Services,Diversified Consumer Services
UCW,Consumer Discretionary,Consumer Services,Diversified Consumer Services
AFJ,Consumer Discretionary,Consumer Services,Diversified Consumer Services
LFC,Consumer Discretionary,Consumer Services,Diversified Consumer Services
VET,Consumer Discretionary,Consumer Services,Diversified Consumer Services
AGI,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
AQS,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
AAD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
ALL,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
CKF,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
CTD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
CWN,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
DMP,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
DNA,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
ENN,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
EBG,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
EXP,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
FLT,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
FCG,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
HLO,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
IDZ,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
JIN,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
OLI,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure"
