11/05/2018 05:50:57 AM - INFO - Starting sharecast prediction: 201805110550
11/05/2018 05:50:57 AM - INFO - Loading file: ./data/data_with_labels.pkl.gz
11/05/2018 05:51:35 AM - INFO - None
11/05/2018 05:51:35 AM - INFO - Converting dates to datetime types
11/05/2018 05:51:35 AM - INFO - Dropping columns: ['Price200DayAverage', 'Price52WeekPercChange', 'AverageVolume', 'EBITDMargin', 'EPSGrowthRate10Years', 'EPSGrowthRate5Years', 'IAD', 'LTDebtToEquityQuarter', 'LTDebtToEquityYear', 'NetIncomeGrowthRate5Years', 'NetProfitMarginPercent', 'PriceToBook', 'ReturnOnAssets5Years', 'ReturnOnAssetsTTM', 'ReturnOnAssetsYear', 'ReturnOnEquity5Years', 'ReturnOnEquityTTM', 'RevenueGrowthRate10Years', 'RevenueGrowthRate5Years', 'TotalDebtToAssetsQuarter', 'TotalDebtToAssetsYear', 'TotalDebtToEquityQuarter', 'bookValue', 'earningsPerShare', 'ebitda', 'epsEstimateCurrentYear', 'marketCapitalization', 'peRatio', 'pegRatio', 'pricePerBook', 'pricePerEpsEstimateCurrentYear', 'pricePerEpsEstimateNextYear', 'pricePerSales', 'one_week_comparison_date', 'two_week_comparison_date', 'four_week_comparison_date', 'eight_week_comparison_date', 'twelve_week_comparison_date', 'twenty_six_week_comparison_date', 'fifty_two_week_comparison_date']
11/05/2018 05:51:38 AM - INFO - Making ex-dividend date a relative number
11/05/2018 05:52:25 AM - INFO - Converting quoteDate to numeric types
11/05/2018 05:52:39 AM - INFO - Removing date columns
11/05/2018 05:52:42 AM - INFO - None
11/05/2018 05:52:42 AM - INFO - Dropping rows missing the label column
11/05/2018 05:52:44 AM - INFO - Clipping label column to (-99, 1000)
11/05/2018 05:52:44 AM - INFO - Creating scaled log label column
11/05/2018 05:52:45 AM - INFO - No of symbols: 2396
11/05/2018 05:52:51 AM - INFO - Symbol: LNY number of records: 1820
11/05/2018 05:52:51 AM - INFO - Symbol: IAA number of records: 2298
11/05/2018 05:52:51 AM - INFO - Symbol: MST number of records: 1246
11/05/2018 05:52:52 AM - INFO - Symbol: TIX number of records: 1033
11/05/2018 05:52:52 AM - INFO - Symbol: GNE number of records: 944
11/05/2018 05:52:52 AM - INFO - Symbol: CCA number of records: 376
11/05/2018 05:52:52 AM - INFO - Symbol: IMF number of records: 2627
11/05/2018 05:52:53 AM - INFO - Symbol: REX number of records: 2457
11/05/2018 05:52:53 AM - INFO - Symbol: XPE number of records: 2192
11/05/2018 05:52:53 AM - INFO - Symbol: FOX number of records: 1729
11/05/2018 05:52:54 AM - INFO - Symbol: AMP number of records: 2681
11/05/2018 05:52:54 AM - INFO - Symbol: MA1 number of records: 395
11/05/2018 05:52:54 AM - INFO - Symbol: RVR number of records: 1703
11/05/2018 05:52:54 AM - INFO - Symbol: VTA number of records: 1328
11/05/2018 05:52:55 AM - INFO - Symbol: IEL number of records: 552
11/05/2018 05:52:55 AM - INFO - Symbol: WLD number of records: 527
11/05/2018 05:52:55 AM - INFO - Symbol: COM number of records: 904
11/05/2018 05:52:56 AM - INFO - Symbol: FMG number of records: 2673
11/05/2018 05:52:56 AM - INFO - Symbol: PFG number of records: 1973
11/05/2018 05:52:56 AM - INFO - Symbol: OGL number of records: 442
11/05/2018 05:52:57 AM - INFO - Symbol: TBR number of records: 1682
11/05/2018 05:52:57 AM - INFO - Symbol: ISH number of records: 242
11/05/2018 05:52:57 AM - INFO - Symbol: PBT number of records: 2406
11/05/2018 05:52:57 AM - INFO - Symbol: PHA number of records: 61
11/05/2018 05:52:58 AM - INFO - Symbol: AOU number of records: 791
11/05/2018 05:52:58 AM - INFO - Symbol: LGR number of records: 251
11/05/2018 05:52:58 AM - INFO - Symbol: BYI number of records: 1036
11/05/2018 05:52:58 AM - INFO - Symbol: USA number of records: 1878
11/05/2018 05:52:59 AM - INFO - Symbol: SNV number of records: 648
11/05/2018 05:52:59 AM - INFO - Symbol: RIR number of records: 557
11/05/2018 05:52:59 AM - INFO - Symbol: CDH number of records: 97
11/05/2018 05:53:00 AM - INFO - Symbol: 1ST number of records: 399
11/05/2018 05:53:00 AM - INFO - Symbol: RXP number of records: 1319
11/05/2018 05:53:00 AM - INFO - Symbol: BMH number of records: 87
11/05/2018 05:53:01 AM - INFO - Symbol: AO1 number of records: 339
11/05/2018 05:53:01 AM - INFO - Symbol: REZ number of records: 496
11/05/2018 05:53:01 AM - INFO - Symbol: BUD number of records: 2268
11/05/2018 05:53:01 AM - INFO - Symbol: EBG number of records: 610
11/05/2018 05:53:02 AM - INFO - Symbol: RHL number of records: 2415
11/05/2018 05:53:02 AM - INFO - Symbol: NFK number of records: 1485
11/05/2018 05:53:02 AM - INFO - Symbol: AYS number of records: 648
11/05/2018 05:53:02 AM - INFO - Symbol: FLR number of records: 222
11/05/2018 05:53:03 AM - INFO - Symbol: TCN number of records: 1404
11/05/2018 05:53:03 AM - INFO - Symbol: MDI number of records: 1075
11/05/2018 05:53:03 AM - INFO - Symbol: HZN number of records: 2669
11/05/2018 05:53:04 AM - INFO - Symbol: IEC number of records: 1713
11/05/2018 05:53:04 AM - INFO - Symbol: AYZ number of records: 121
11/05/2018 05:53:04 AM - INFO - Symbol: VMX number of records: 954
11/05/2018 05:53:04 AM - INFO - Symbol: PCH number of records: 812
11/05/2018 05:53:05 AM - INFO - Symbol: TME number of records: 1543
11/05/2018 05:53:05 AM - INFO - Symbol: AR1 number of records: 1607
11/05/2018 05:53:05 AM - INFO - Symbol: TND number of records: 966
11/05/2018 05:53:05 AM - INFO - Symbol: LPI number of records: 393
11/05/2018 05:53:06 AM - INFO - Symbol: SNZ number of records: 91
11/05/2018 05:53:06 AM - INFO - Symbol: IMC number of records: 1969
11/05/2018 05:53:06 AM - INFO - Symbol: AUC number of records: 1503
11/05/2018 05:53:07 AM - INFO - Symbol: MLD number of records: 1821
11/05/2018 05:53:07 AM - INFO - Symbol: UNS number of records: 2440
11/05/2018 05:53:07 AM - INFO - Symbol: UBJ number of records: 326
11/05/2018 05:53:07 AM - INFO - Symbol: ABV number of records: 1672
11/05/2018 05:53:08 AM - INFO - Symbol: SPZ number of records: 1908
11/05/2018 05:53:08 AM - INFO - Symbol: CQC number of records: 364
11/05/2018 05:53:08 AM - INFO - Symbol: XTD number of records: 787
11/05/2018 05:53:08 AM - INFO - Symbol: MDG number of records: 504
11/05/2018 05:53:09 AM - INFO - Symbol: ONE number of records: 400
11/05/2018 05:53:09 AM - INFO - Symbol: CNW number of records: 1980
11/05/2018 05:53:09 AM - INFO - Symbol: SRH number of records: 1332
11/05/2018 05:53:10 AM - INFO - Symbol: KLL number of records: 206
11/05/2018 05:53:10 AM - INFO - Symbol: ESM number of records: 572
11/05/2018 05:53:10 AM - INFO - Symbol: KTA number of records: 598
11/05/2018 05:53:11 AM - INFO - Symbol: ING number of records: 312
11/05/2018 05:53:11 AM - INFO - Symbol: PSP number of records: 1004
11/05/2018 05:53:11 AM - INFO - Symbol: AOH number of records: 2565
11/05/2018 05:53:12 AM - INFO - Symbol: CT1 number of records: 179
11/05/2018 05:53:12 AM - INFO - Symbol: YHL number of records: 48
11/05/2018 05:53:12 AM - INFO - Symbol: MGU number of records: 946
11/05/2018 05:53:13 AM - INFO - Symbol: TAU number of records: 239
11/05/2018 05:53:13 AM - INFO - Symbol: WAX number of records: 2183
11/05/2018 05:53:13 AM - INFO - Symbol: AAP number of records: 567
11/05/2018 05:53:14 AM - INFO - Symbol: GMA number of records: 941
11/05/2018 05:53:14 AM - INFO - Symbol: WCN number of records: 1720
11/05/2018 05:53:14 AM - INFO - Symbol: NCC number of records: 615
11/05/2018 05:53:15 AM - INFO - Symbol: SXS number of records: 1192
