,column_name,importance
146,adjustedPrice_T6_10P,0.014041809
200,future_eight_week_return_T1_10P,0.013869701
145,adjustedPrice_T2_5P,0.013690109
2,volume,0.013056862
0,lastTradePriceOnly,0.013016641
12,percebtChangeFrom52WeekHigh,0.0092031285
15,allordchange,0.009074047
144,adjustedPrice_T1P,0.00876818
14,allordpreviousclose,0.008564269
13,percentChangeFrom52WeekLow,0.008181701
7,changeInPercent,0.008114355
201,future_eight_week_return_T1_20P,0.008090035
35,FXRUSD,0.0077037266
147,adjustedPrice_T11_20P,0.0074970094
156,FXRUSD_T1P,0.0073445435
19,allordpercentChangeFrom52WeekLow,0.0072771967
18,allordpercebtChangeFrom52WeekHigh,0.007075156
157,FXRUSD_T2_5P,0.0069526224
158,FXRUSD_T6_10P,0.006461552
1,adjustedPrice,0.006348372
149,allordpreviousclose_T2_5P,0.0062146136
263,value__ar_coefficient__k_10__coeff_4,0.00618094
159,FXRUSD_T11_20P,0.006149138
262,value__ar_coefficient__k_10__coeff_3,0.006063083
261,value__ar_coefficient__k_10__coeff_2,0.006045311
11,changeFrom52WeekLow,0.005768441
150,allordpreviousclose_T6_10P,0.0057216724
255,value__approximate_entropy__m_2__r_0.3,0.005544887
444,value__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.005492506
243,"value__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""rvalue""",0.0054588327
6,change,0.0053344285
260,value__ar_coefficient__k_10__coeff_1,0.0052801766
445,value__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.0052249897
151,allordpreviousclose_T11_20P,0.0052044117
251,"value__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""rvalue""",0.005172609
204,"value__agg_autocorrelation__f_agg_""median""",0.004996759
148,allordpreviousclose_T1P,0.004973375
127,twenty_six_week_price_return,0.0048751608
254,value__approximate_entropy__m_2__r_0.1,0.0048302626
205,"value__agg_autocorrelation__f_agg_""var""",0.004771334
672,value__partial_autocorrelation__lag_8,0.0047638514
203,"value__agg_autocorrelation__f_agg_""mean""",0.00476011
667,value__partial_autocorrelation__lag_3,0.0047385963
666,value__partial_autocorrelation__lag_2,0.0047245654
57,one_week_std,0.0047011813
670,value__partial_autocorrelation__lag_6,0.0046862154
673,value__partial_autocorrelation__lag_9,0.004677797
443,value__energy_ratio_by_chunks__num_segments_10__segment_focus_3,0.004664702
277,value__binned_entropy__max_bins_10,0.004621675
256,value__approximate_entropy__m_2__r_0.5,0.0046113855
671,value__partial_autocorrelation__lag_7,0.0046010963
202,future_eight_week_return_T1_40P,0.004564617
101,eight_week_price_return,0.00455994
668,value__partial_autocorrelation__lag_4,0.004534685
446,value__energy_ratio_by_chunks__num_segments_10__segment_focus_6,0.0045187837
264,"value__augmented_dickey_fuller__attr_""pvalue""",0.004449566
669,value__partial_autocorrelation__lag_5,0.004298036
199,H05_GLFSEPTPOP_T11_20P,0.0042372365
675,value__skewness,0.0042316243
28,AINTCOV,0.0041016075
674,value__sample_entropy,0.0040838355
21,asxchange,0.0039407234
41,GRCPBMAD,0.003934176
683,quoteDate_DAY,0.0039285636
656,value__kurtosis,0.0039079855
