Wall time,Step,Value
1496311914,96,2.362098455
1496312445,197,2.353461981
1496312977,297,2.348675966
1496313505,397,2.344680071
1496314032,497,2.340987444
1496314537,599,2.337384224
1496315069,700,2.333913088
1496315608,797,2.330647945
1496316137,898,2.327310324
1496316668,997,2.324104786
1496317196,1097,2.320931673
1496317720,1197,2.31782198
1496318226,1297,2.314773321
1496318730,1399,2.311721802
1496319248,1500,2.308747292
1496319754,1600,2.305841208
1496320258,1699,2.302995443
1496320764,1797,2.300206423
1496321282,1900,2.297303677
1496321787,1999,2.294542313
1496322293,2097,2.291833401
1496322798,2198,2.289070845
1496323305,2297,2.286391258
1496323810,2396,2.283759117
1496324316,2498,2.28106904
1496324833,2600,2.27841258
1496325325,2694,2.275979519
1496325845,2799,2.273294687
1496326350,2898,2.270792484
1496326856,2997,2.268317938
1496327361,3095,2.265904427
1496327865,3198,2.263395548
1496328371,3297,2.261019468
1496328890,3400,2.258579969
1496329397,3497,2.25631237
1496329902,3596,2.254034758
1496330423,3698,2.251723051
1496330942,3800,2.249442101
1496331449,3898,2.247287989
1496331956,3995,2.245190859
1496332477,4098,2.243008852
1496332984,4195,2.240986347
1496333505,4297,2.238890648
1496334024,4399,2.236839056
1496334532,4495,2.234932661
1496335055,4597,2.232937098
1496335576,4699,2.230972528
1496336097,4800,2.229051828
1496336604,4896,2.227257967
1496337125,5000,2.225346804
1496337634,5095,2.223639727
1496338155,5199,2.221791029
1496338662,5296,2.220096827
1496339182,5399,2.218320608
1496339688,5498,2.216646433
1496340210,5600,2.214953661
1496340717,5697,2.213372231
1496341238,5800,2.211723804
1496341745,5898,2.210180283
1496342253,5996,2.20865798
1496342776,6097,2.207115173
1496343284,6194,2.205657959
1496343808,6297,2.204138517
1496344333,6397,2.202684402
1496344855,6499,2.201225758
1496345363,6596,2.199854612
1496345887,6697,2.19844985
1496346407,6800,2.197031021
1496346914,6897,2.195719957
1496347433,7000,2.194339752
1496347953,7095,2.193084717
1496348539,7200,2.191723347
1496349238,7299,2.190457582
1496349836,7396,2.189230204
1496350438,7499,2.187940836
1496350987,7600,2.186697721
1496351498,7698,2.185505867
1496352042,7797,2.184318066
1496352577,7897,2.183134079
1496353105,7997,2.181958437
1496353634,8097,2.180800676
1496354165,8197,2.179657221
1496354693,8297,2.178529024
1496355222,8397,2.177417755
1496355753,8497,2.176325321
1496356281,8597,2.175248384
1496356810,8697,2.174185276
1496357339,8797,2.173134327
1496357866,8897,2.172090054
1496358395,8997,2.171057463
